thaiName,engName
กทม,Bangkok
อำนาจเจริญ,Amnat Charoen
อ่างทอง,Ang Thong
บึงกาฬ,Bueng Kan
บุรีรัมย์,Buriram
ฉะเชิงเทรา,Chachoengsao
ชัยนาท,Chai Nat
ชัยภูมิ,Chaiyaphum
จันทบุรี,Chanthaburi
เชียงใหม่,Chiang Mai
เชียงราย,Chiang Rai
ชลบุรี,Chonburi
ชุมพร,Chumphon
กาฬสินธุ์,Kalasin
กำแพงเพชร,Kamphaeng Phet
กาญจนบุรี,Kanchanaburi
ขอนแก่น,Khon Kaen
กระบี่,Krabi
ลำปาง,Lampang
ลำพูน,Lamphun
เลย,Loei
ลพบุรี,Lopburi
แม่ฮ่องสอน,Mae Hong Son
มหาสารคาม,Maha Sarakham
มุกดาหาร,Mukdahan
นครนายก,Nakhon Nayok
นครปฐม,Nakhon Pathom
นครพนม,Nakhon Phanom
นครราชสีมา,Nakhon Ratchasima
นครสวรรค์,Nakhon Sawan
นครศรีธรรมราช,Nakhon Si Thammarat
น่าน,Nan
นราธิวาส,Narathiwat
หนองบัวลำภู,Nong Bua Lam Phu
หนองคาย,Nong Khai
นนทบุรี,Nonthaburi
ปทุมธานี,Pathum Thani
ปัตตานี,Pattani
พังงา,Phang Nga
พัทลุง,Phatthalung
พะเยา,Phayao
เพชรบูรณ์,Phetchabun
เพชรบุรี,Phetchaburi
พิจิตร,Phichit
พิษณุโลก,Phitsanulok
พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya
แพร่,Phrae
ภูเก็ต,Phuket
ปราจีนบุรี,Prachinburi
ประจวบคีรีขันธ์,Prachuap Khiri Khan
ระนอง,Ranong
ราชบุรี,Ratchaburi
ระยอง,Rayong
ร้อยเอ็ด,Roi Et
สระแก้ว,Sa Kaeo
สกลนคร,Sakon Nakhon
สมุทรปราการ,Samut Prakan
สมุทรสาคร,Samut Sakhon
สมุทรสงคราม,Samut Songkhram
สระบุรี,Saraburi
สตูล,Satun
สิงห์บุรี,Sing Buri
ศรีสะเกษ,Sisaket
สงขลา,Songkhla
สุโขทัย,Sukhothai (Sukhothai Thani)
สุพรรณบุรี,Suphan Buri
สุราษฎร์ธานี,Surat Thani
สุรินทร์,Surin
ตาก,Tak
ตรัง,Trang
ตราด,Trat
อุบลราชธานี,Ubon Ratchathani
อุดรธานี,Udon Thani
อุทัยธานี,Uthai Thani
อุตรดิตถ์,Uttaradit
ยะลา,Yala
ยโสธร,Yasothon